Date,Chip,Size,Chips Sold,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/06,Lightly Salted ,2oz,2101,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/06,Lightly Salted ,2oz,2924,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/06,Lightly Salted ,2oz,2606,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/06,Lightly Salted ,2oz,2244,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/06,Lightly Salted ,2oz,2547,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/06,Lightly Salted ,2oz,2311,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/06,Lightly Salted ,2oz,2050,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/06,Lightly Salted ,2oz,2211,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/06,Lightly Salted ,2oz,2412,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/07,Lightly Salted ,2oz,1779,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/07,Lightly Salted ,2oz,2013,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/07,Lightly Salted ,2oz,2358,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/07,Lightly Salted ,2oz,2104,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/07,Lightly Salted ,2oz,2406,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/07,Lightly Salted ,2oz,2717,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/07,Lightly Salted ,2oz,2719,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/07,Lightly Salted ,2oz,2387,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/07,Lightly Salted ,2oz,2282,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/07,Lightly Salted ,2oz,2952,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/07,Lightly Salted ,2oz,2031,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/07,Lightly Salted ,2oz,1418,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/08,Lightly Salted ,2oz,1675,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/08,Lightly Salted ,2oz,2292,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/08,Lightly Salted ,2oz,1403,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/08,Lightly Salted ,2oz,2446,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/08,Lightly Salted ,2oz,1479,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/08,Lightly Salted ,2oz,2086,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/08,Lightly Salted ,2oz,3167,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/08,Lightly Salted ,2oz,1906,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/08,Lightly Salted ,2oz,3312,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/08,Lightly Salted ,2oz,2454,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/08,Lightly Salted ,2oz,1566,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/08,Lightly Salted ,2oz,1444,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/09,Lightly Salted ,2oz,1527,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/09,Lightly Salted ,2oz,1699,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/09,Lightly Salted ,2oz,3023,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/09,Lightly Salted ,2oz,2469,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/09,Lightly Salted ,2oz,2576,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/09,Lightly Salted ,2oz,2585,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/09,Lightly Salted ,2oz,2429,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/09,Lightly Salted ,2oz,2479,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/09,Lightly Salted ,2oz,2849,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/09,Lightly Salted ,2oz,1826,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/09,Lightly Salted ,2oz,2315,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/09,Lightly Salted ,2oz,1948,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/10,Lightly Salted ,2oz,1419,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/10,Lightly Salted ,2oz,2218,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/10,Lightly Salted ,2oz,2499,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/10,Lightly Salted ,2oz,2810,,,,,,,,,,,,,,,,,,,,,,,,,
