,Lightly Salted (2oz.),Lightly Salted (6oz.),Barbeque (2oz.),Barbeque (6oz.),Dill Pickle (2oz.),Dill Pickle (6oz.),Sour Cream and Chive (2oz.),Sour Cream and Chive (6oz.),Chesapeake Crab (2oz.),Chesapeake Crab (6oz.),Salt and Vinegar (2oz.),Salt and Vinegar (6oz.) ,Garlic and Herb (2oz.),Garlic and Herb (6oz.),Mama Zuma's (2oz.),Green Chile Enchilada (2oz.),Sweet Potato Cinnamon Sugar (6oz.) ,Sweet Potato (1.5oz.),Sweet Potato (5oz.),Sum,Cumulative
Apr-06,2101,717,907,455,468,241,732,349,253,169,781,278,212,60,408,363,0,922,176,9592,9592
May-06,2924,840,1455,324,903,308,1099,273,441,174,865,288,528,129,721,640,0,885,760,13557,23149
Jun-06,2606,1050,1324,376,748,218,887,234,390,132,909,242,395,140,482,541,98,934,749,12455,35604
Jul-06,2244,667,994,334,692,187,767,235,339,190,674,219,294,96,425,306,45,636,95,9439,45043
Aug-06,2547,1185,1313,445,844,238,1052,314,440,203,1092,267,448,97,634,709,7,41,24,11900,56943
Sep-06,2311,602,939,285,617,202,965,281,377,60,953,216,325,100,603,341,51,1093,176,10497,67440
Oct-06,2050,580,1157,309,791,259,764,194,427,197,716,194,339,62,447,459,71,643,397,10056,77496
Nov-06,2211,944,1015,312,641,175,794,334,349,203,1081,342,295,100,504,690,40,1023,302,11355,88851
Dec-06,2412,673,1030,332,566,169,794,211,338,118,609,143,151,43,334,363,25,919,859,10089,98940
Jan-07,1779,718,731,391,519,138,550,245,194,52,769,127,226,55,297,393,36,1168,825,9213,108153
Feb-07,2013,671,898,213,611,144,787,208,298,55,663,135,226,53,311,362,24,961,163,8796,116949
Mar-07,2358,707,963,306,756,935,636,274,316,144,804,208,211,89,410,544,32,1457,876,12026,128975
Apr-07,2104,822,1136,405,732,154,831,255,288,70,742,161,252,62,494,402,1212,1003,738,11863,140838
May-07,2406,860,982,397,790,992,820,231,352,131,937,306,313,95,513,493,975,1413,381,13387,154225
Jun-07,2717,981,1398,416,855,228,1104,307,403,141,839,232,398,107,480,554,53,1230,1325,13768,167993
Jul-07,2719,777,1577,389,974,224,1102,274,468,146,1156,281,457,75,581,665,31,78,643,12617,180610
Aug-07,2387,986,1189,375,769,288,527,341,472,163,815,256,402,139,446,511,52,23,220,10361,190971
Sep-07,2282,765,989,260,559,176,961,218,121,81,752,228,271,83,349,438,2,69,51,8655,199626
Oct-07,2952,1062,1486,444,1001,204,1365,303,18,90,1234,219,445,100,587,385,8,799,59,12761,212387
Nov-07,2031,681,1052,337,655,268,783,250,313,129,771,250,290,54,409,1,49,1165,1678,11166,223553
Dec-07,1418,476,544,142,467,102,625,103,210,49,587,112,205,44,316,24,26,945,194,6589,230142
Jan-08,1675,552,885,250,609,145,785,185,258,95,784,160,308,60,369,308,22,1034,653,9137,239279
Feb-08,2292,726,1108,468,675,160,880,192,410,115,857,207,387,55,527,730,29,1482,241,11541,250820
Mar-08,1403,615,761,288,440,153,473,195,219,99,483,190,145,74,337,360,26,518,1279,8058,258878
Apr-08,2446,775,1125,528,662,212,930,273,336,58,926,243,274,59,457,565,29,1391,274,11563,270441
May-08,1479,484,805,185,618,137,579,148,261,108,507,150,208,48,363,269,15,108,132,6604,277045
Jun-08,2086,874,820,439,593,294,751,233,152,93,840,316,246,116,189,255,13,620,642,9572,286617
Jul-08,3167,2046,1700,804,1173,297,1025,451,766,267,1048,401,461,95,945,813,26,585,601,16671,303288
Aug-08,1906,1474,1029,229,597,208,489,190,256,171,903,163,347,76,463,493,6,21,15,9036,312324
Sep-08,3312,871,1335,296,1061,206,1264,276,497,183,1092,251,326,109,716,788,12,439,1277,14311,326635
Oct-08,2454,1364,1042,479,789,291,711,266,559,141,157,85,303,83,538,441,119,2152,810,12784,339419
Nov-08,1566,570,861,224,582,219,699,231,129,59,882,195,302,117,413,452,66,1042,333,8942,348361
Dec-08,1444,886,506,279,404,182,379,194,122,84,551,193,180,52,293,234,20,613,1077,7693,356054
Jan-09,1527,1270,908,486,614,187,580,319,263,81,625,181,263,84,389,477,58,1091,800,10203,366257
Feb-09,1699,904,833,251,509,165,722,163,325,77,735,153,257,56,590,428,25,785,526,9203,375460
Mar-09,3023,1252,1043,366,1158,273,829,271,520,165,961,292,464,119,567,701,30,2341,703,15078,390538
Apr-09,2469,1109,1352,949,728,1030,917,258,378,1170,947,863,308,58,604,607,27,228,674,14676,405214
May-09,2576,1791,1321,567,1037,373,972,363,493,214,984,228,386,70,741,523,71,2118,1212,16040,421254
Jun-09,2585,1538,1036,601,1002,363,763,449,305,131,741,265,301,119,606,335,43,1578,1384,14145,435399
Jul-09,2429,1506,1190,639,968,378,629,391,489,238,938,302,346,54,664,0,73,1672,1045,13951,449350
Aug-09,2479,1231,1106,351,743,340,1044,264,426,169,978,240,191,56,818,0,106,1079,830,12451,461801
Sep-09,2849,1723,1371,385,861,1053,1036,307,506,144,918,221,3,689,864,0,91,1932,1771,16724,478525
Oct-09,1826,1025,900,303,651,193,656,153,421,104,701,166,0,47,508,0,89,1368,654,9765,488290
Nov-09,2315,1022,1100,310,806,343,771,270,471,161,773,193,0,16,776,0,72,1864,827,12090,500380
